date,ta_umol,treatment
3/1/2024,3293.444807,elevated
3/1/2024,3623.193092,elevated
3/1/2024,3632.242275,elevated
3/1/2024,3789.562558,elevated
3/1/2024,3643.759663,elevated
3/1/2024,2363.127408,elevated
3/1/2024,2318.016829,elevated
3/1/2024,2183.28256,elevated
3/5/2024,3841.780064,elevated
3/5/2024,3745.408305,elevated
3/5/2024,3660.802609,elevated
3/5/2024,3642.683614,elevated
3/5/2024,3747.102595,elevated
3/5/2024,3710.607227,elevated
3/5/2024,3703.370695,elevated
3/5/2024,3890.903818,elevated
3/5/2024,3805.386911,elevated
3/5/2024,3704.716444,elevated
3/5/2024,3829.274241,elevated
3/5/2024,3753.526037,elevated
3/11/2024,3674.046,elevated
3/11/2024,3725.157,elevated
3/11/2024,3589.7335,elevated
3/11/2024,3737.897,elevated
3/11/2024,3729.449,elevated
3/11/2024,3622.557,elevated
3/11/2024,3834.27,elevated
3/11/2024,3903.7295,elevated
3/11/2024,3757.373,elevated
3/11/2024,3752.1415,elevated
3/11/2024,3797.7475,elevated
3/11/2024,3729.426,elevated
3/19/2024,3882.645,elevated
3/19/2024,4047.083,elevated
3/19/2024,4014.2935,elevated
3/19/2024,4249.0325,elevated
3/19/2024,3967.166,elevated
3/19/2024,3984.849,elevated
3/19/2024,3923.0885,elevated
3/19/2024,3988.029,elevated
3/19/2024,3885.283,elevated
3/19/2024,3962.842,elevated
3/19/2024,3825.936,elevated
3/19/2024,3910.2845,elevated
2/20/2024,4166.288078,high
2/20/2024,2755.990005,high
2/20/2024,2722.885623,high
2/20/2024,2507.69099,high
2/20/2024,4434.897626,high
2/20/2024,4411.231452,high
2/20/2024,4700.090789,high
2/20/2024,4174.275385,high
2/20/2024,4690.264275,high
2/20/2024,4792.25724,high
2/20/2024,4739.434078,high
2/20/2024,4778.963097,high
2/23/2024,4263.222603,high
2/23/2024,4104.784601,high
2/23/2024,3912.133489,high
2/23/2024,3238.880186,high
2/23/2024,3502.617597,high
2/23/2024,4129.702854,high
2/23/2024,4313.133919,high
2/23/2024,4237.568775,high
2/23/2024,4802.734716,high
2/23/2024,3886.457472,high
2/23/2024,4263.837453,high
2/23/2024,3571.459201,high
2/27/2024,4500.299766,high
2/27/2024,4481.265338,high
2/27/2024,4363.454298,high
2/27/2024,4721.002389,high
2/27/2024,4434.270217,high
2/27/2024,4466.415399,high
2/27/2024,4149.61501,high
2/27/2024,4842.182646,high
2/27/2024,4679.048738,high
2/27/2024,4704.892603,high
2/27/2024,4733.226373,high
2/27/2024,4953.251171,high
3/1/2024,2321.078787,high
3/1/2024,2343.933579,high
3/1/2024,2550.558674,high
3/1/2024,3858.750295,high
3/1/2024,2282.349454,high
3/1/2024,2449.671663,high
3/1/2024,2791.301371,high
3/1/2024,2719.097264,high
3/1/2024,2547.682686,high
3/1/2024,2990.112813,high
3/1/2024,2683.414379,high
3/5/2024,4702.671806,high
3/5/2024,4691.621717,high
3/5/2024,4638.918655,high
3/5/2024,4568.170552,high
3/5/2024,4466.755542,high
3/5/2024,4471.370988,high
3/5/2024,3343.307716,high
3/5/2024,4043.711579,high
3/5/2024,3406.766541,high
3/5/2024,3405.503554,high
3/5/2024,3704.079841,high
3/5/2024,3424.032418,high
3/11/2024,3392.5615,high
3/11/2024,2821.7925,high
3/11/2024,2906.9605,high
3/11/2024,3043.2975,high
3/11/2024,4387.9205,high
3/11/2024,4259.7875,high
3/11/2024,4380.631,high
3/11/2024,3182.5405,high
3/11/2024,4484.498,high
3/11/2024,4516.542,high
3/11/2024,3184.286,high
3/11/2024,3041.1525,high
3/19/2024,4970.3365,high
3/19/2024,4911.646,high
3/19/2024,4908.8635,high
3/19/2024,4950.5435,high
3/19/2024,4824.8185,high
3/19/2024,4925.2155,high
3/19/2024,3572.355,high
3/19/2024,5107.362,high
3/19/2024,4222.2515,high
3/19/2024,4811.79,high
3/19/2024,3497.0035,high
3/19/2024,4960.3725,high
2/20/2024,4685.238258,xhigh
2/20/2024,4806.617619,xhigh
2/20/2024,3924.333332,xhigh
2/20/2024,2462.950861,xhigh
2/20/2024,4648.658216,xhigh
2/20/2024,2746.661835,xhigh
2/20/2024,4662.041469,xhigh
2/20/2024,5101.29076,xhigh
2/20/2024,5112.503026,xhigh
2/20/2024,4203.837852,xhigh
2/20/2024,5052.813381,xhigh
2/20/2024,5071.020672,xhigh
2/23/2024,4250.215241,xhigh
2/23/2024,4594.771242,xhigh
2/23/2024,4629.455326,xhigh
2/23/2024,3167.368867,xhigh
2/23/2024,4259.125614,xhigh
2/23/2024,4125.510157,xhigh
2/23/2024,4666.524312,xhigh
2/23/2024,3962.635526,xhigh
2/23/2024,3942.144195,xhigh
2/23/2024,3503.650222,xhigh
2/23/2024,4543.779109,xhigh
2/23/2024,4264.874912,xhigh
2/27/2024,3870.329298,xhigh
2/27/2024,5046.729586,xhigh
2/27/2024,5026.652147,xhigh
2/27/2024,5001.510485,xhigh
2/27/2024,4873.027526,xhigh
2/27/2024,4936.615305,xhigh
2/27/2024,3832.310962,xhigh
2/27/2024,3676.438737,xhigh
2/27/2024,3743.001115,xhigh
2/27/2024,3880.45654,xhigh
2/27/2024,4097.226614,xhigh
3/1/2024,3873.654758,xhigh
3/1/2024,2739.12843,xhigh
3/1/2024,3564.389386,xhigh
3/1/2024,4165.946341,xhigh
3/1/2024,4336.107859,xhigh
3/1/2024,4354.567721,xhigh
3/1/2024,2947.933823,xhigh
3/1/2024,3541.922337,xhigh
3/1/2024,2993.950159,xhigh
3/1/2024,4295.171839,xhigh
3/1/2024,2941.248555,xhigh
3/1/2024,3032.08864,xhigh
3/5/2024,3845.406169,xhigh
3/5/2024,4415.609526,xhigh
3/5/2024,3999.714174,xhigh
3/5/2024,3809.340139,xhigh
3/5/2024,3930.989954,xhigh
3/5/2024,5143.074154,xhigh
3/5/2024,4426.5645,xhigh
3/5/2024,3481.4775,xhigh
3/5/2024,4554.3755,xhigh
3/5/2024,3626.379,xhigh
3/5/2024,3614.917,xhigh
3/5/2024,4530.2855,xhigh
3/11/2024,3560.0655,xhigh
3/11/2024,3609.61,xhigh
3/11/2024,3676.7705,xhigh
3/11/2024,5162.725,xhigh
3/11/2024,4841.3915,xhigh
3/11/2024,4121.98,xhigh
3/11/2024,3916.2505,xhigh
3/11/2024,4044.072,xhigh
3/11/2024,3863.694,xhigh
3/11/2024,4482.9775,xhigh
3/11/2024,3850.0925,xhigh
3/19/2024,5286.4435,xhigh
3/19/2024,4001.836,xhigh
3/19/2024,4408.6375,xhigh
3/19/2024,4019.219,xhigh
3/19/2024,5287.5695,xhigh
3/19/2024,5111.6075,xhigh
