order,beaker,tank,treatment,geno,tag,coral,avg_ta,ta_sd,ta_se,gr_t0t3,gr_t1t3,gr_t0t1,gr_t1t2,gr_t2t3,le_t0t1,le_t0t1e,le_t1t2,le_t1t2e,le_t2t3,le_t2t3e,le_t0t3,le_t0t3e,le_t1t3,le_t1t3e
18,21,2,AMB,SI,6,SI6,2413.734,92.86014,27.99838,0.5479795338,0.493247718,0.660863904,0.5980350615,0.3675029059,0.13475,0.1335,0.01338888889,0.06188888889,0.04786666667,0.0152,0.06357142857,0.07097959184,0.02906060606,0.04066666667
19,23,2,ELEV,SI,1,SI1,3465.036,344.65163,114.88388,0.7151757184,0.6396728398,0.8709004054,0.8613745007,0.3736308468,0.1255625,0.1243125,0.02961111111,0.07811111111,0.01233333333,-0.02033333333,0.05565306122,0.06306122449,0.02175757576,0.03336363636
20,24,2,XHI,M9,9,M99,4455.117,870.58963,329.05195,0.8126655262,0.8099742077,0.8182163704,0.873919135,0.733240295,0.2085,0.20725,0.05311111111,0.1016111111,0.0208,-0.01186666667,0.09395918367,0.1013673469,0.03842424242,0.05003030303
21,25,3,HI,SI,2,SI2,4196.082,745.21545,235.65782,1.031301933,1.213547016,0.6554214494,1.410992851,0.9766120133,0.1075,0.10625,0.1002777778,0.1487777778,-0.01026666667,-0.04293333333,0.06879591837,0.07620408163,0.05003030303,0.06163636364
22,26,3,XHI,M9,1,M91,4171.967,776.49732,347.26016,0.5646001788,0.5919972087,0.5080938045,0.655267929,0.5160723444,0.1714375,0.1701875,0.07066666667,0.1191666667,0.02686666667,-0.0058,0.09016326531,0.09757142857,0.05075757576,0.06236363636
23,28,3,ELEV,M9,8,M98,3771.987,144.8804,48.29347,0.7698210703,0.8684047565,0.5664922177,1.185750894,0.487589391,0.1495625,0.1483125,0.2077777778,0.2562777778,-0.01593333333,-0.0486,0.1202857143,0.1276938776,0.1060909091,0.1176969697
24,29,3,XHI,SI,5,SI5,3762.628,209.83751,121.14975,0.9119974005,1.018419197,0.6925024462,1.277116388,0.707982567,0.1609375,0.1596875,0.07461111111,0.1231111111,0.02826666667,-0.0044,0.0886122449,0.09602040816,0.05354545455,0.06515151515
25,30,3,HI,C,3,C3,4631.461,173.78716,70.94831,0.6826320235,0.7117226387,0.6226326298,0.8406391757,0.5570227943,0.219875,0.218625,0.1088333333,0.1573333333,0.05833333333,0.02566666667,0.1296326531,0.1370408163,0.08587878788,0.09748484848
26,31,3,AMB,M9,4,M94,2497.533,53.27636,17.75879,0.2503035911,0.210038513,0.3333503146,0.2705699689,0.1374007659,0.094625,0.093375,0.01344444444,0.06194444444,0.02986666667,-0.0028,0.04497959184,0.0523877551,0.02090909091,0.03251515152
27,32,3,AMB,SI,4,SI4,2436.469,98.30096,32.76699,0.3221251757,0.3267299175,0.3126278958,0.4998496048,0.1189862927,0.175375,0.174125,0.009333333333,0.05783333333,-0.0656,-0.09826666667,0.0406122449,0.04802040816,-0.02472727273,-0.01312121212
28,34,3,ELEV,SI,11,SI11,3773.252,120.44016,40.14672,0.7083525985,0.8698800855,0.3752021565,0.9574405878,0.7648074827,0.0874375,0.0861875,-0.003333333333,0.04516666667,0.0202,-0.01246666667,0.03351020408,0.04091836735,0.007363636364,0.01896969697
29,35,3,AMB,C,13,C13,2490.663,171.7742,64.92455,0.5439711126,0.5644328376,0.5017688047,0.7171549331,0.381166323,0.1326875,0.1314375,0.08511111111,0.1336111111,0.003466666667,-0.0292,0.07565306122,0.08306122449,0.048,0.05960606061
30,36,3,XHI,C,15,C15,4455.189,536.24507,218.92113,0.9876545666,1.065754584,0.8265732807,1.510774874,0.531730236,0.157,0.15575,0.16,0.2085,0.0102,-0.02246666667,0.1131632653,0.1205714286,0.09190909091,0.1035151515
31,37,4,HI,C,6,C6,4406.363,729.14259,230.57513,0.4937938271,0.5278599775,0.4235323921,0.455080916,0.6151948513,0.077125,0.075875,0.01811111111,0.06661111111,-0.0354,-0.06806666667,0.021,0.02840816327,-0.006212121212,0.005393939394
32,38,4,AMB,C,12,C12,2519.58,252.92234,89.42155,0.4151086549,0.4331455002,0.3779076616,0.6428222613,0.1815333869,0.08425,0.083,0.07611111111,0.1246111111,0.06766666667,0.035,0.07618367347,0.08359183673,0.07227272727,0.08387878788
33,39,4,AMB,SI,9,SI9,2437.46,69.90335,22.10538,0.5495465759,0.6493785174,0.3436431965,0.7626334527,0.513472595,0.0790625,0.0778125,0.03816666667,0.08666666667,0.03746666667,0.0048,0.05130612245,0.05871428571,0.03784848485,0.04945454545
34,41,4,HI,M9,5,M95,4343.197,672.69249,224.23083,0.5692253555,0.6252057736,0.4537657431,0.7067668827,0.5273324427,0.0000625,-0.0011875,0.02927777778,0.07777777778,0.0146,-0.01806666667,0.01524489796,0.02265306122,0.02260606061,0.03421212121
35,42,4,XHI,M9,6,M96,4751.749,417.94747,139.31582,0.6788681602,0.7876196865,0.4545681373,0.930014608,0.6167457806,0.03525,0.034,0.1828888889,0.2313888889,0.07006666667,0.0374,0.1001428571,0.1075510204,0.1316060606,0.1432121212
36,43,4,ELEV,SI,12,SI12,3779.477,89.75108,31.7318,0.6134226819,0.656715113,0.5241320426,0.9274383876,0.3318471835,0.200125,0.198875,0.09316666667,0.1416666667,0.0076,-0.02506666667,0.1018979592,0.1093061224,0.05427272727,0.06587878788
37,45,4,ELEV,C,11,C11,3661.751,269.73561,110.1191,0.6525074648,0.7221843599,0.5610565399,0.7366871223,0.6351677857,0.246875,0.245625,0.1432777778,0.1917777778,-0.1996666667,-0.363,0.1602702703,0.1700810811,0.09428571429,0.1125238095
38,46,4,HI,SI,15,SI15,3944.244,868.71631,307.1376,0.5572504866,0.6171853363,0.4336348592,0.7425639921,0.4667309494,0.17025,0.169,0.05022222222,0.09872222222,0.0374,0.004733333333,0.08548979592,0.09289795918,0.04439393939,0.056
39,47,4,ELEV,C,14,C14,3817.606,72.26964,24.08988,0.5092934382,0.5681560343,0.3878893338,0.6250471326,0.4998867162,0.1643125,0.1630625,0.07422222222,0.1227222222,0.09313333333,0.06046666667,0.1094285714,0.1168367347,0.08281818182,0.09442424242
40,48,4,XHI,C,16,C16,4515.73,471.10968,178.06272,0.5007649183,0.609299183,0.2769129974,0.6787064617,0.5260104486,0.1249375,0.1236875,0.09244444444,0.1409444444,-0.1753333333,-0.208,0.02108163265,0.02848979592,-0.02927272727,-0.01766666667
